date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,result,home_form,away_form,home_elo,away_elo,elo_difference,goal_difference,tournament_weight
2016-03-28,Central African Republic,Madagascar,2.0,1.0,African Cup of Nations qualification,Bangui,Central African Republic,False,,H,0.06666666666666667,0.06666666666666667,1000.0,1000.0,0.0,1.0,2.0
2016-03-28,Equatorial Guinea,Mali,0.0,1.0,African Cup of Nations qualification,Malabo,Equatorial Guinea,False,,A,0.0,0.2,992.0,1008.0,-16.0,-1.0,2.0
2016-03-28,Libya,São Tomé and Príncipe,4.0,0.0,African Cup of Nations qualification,Cairo,Egypt,True,,H,0.0,0.2,988.0471098579077,1007.9068404748032,-19.86,4.0,2.0
2016-03-28,Liechtenstein,Faroe Islands,2.0,3.0,Friendly,Marbella,Spain,True,,A,0.06666666666666667,0.5,1000.0,1000.0,0.0,-1.0,1.0
2016-03-28,Northern Ireland,Slovenia,1.0,0.0,Friendly,Belfast,Northern Ireland,False,,H,0.06666666666666667,0.2,1000.0,1004.0,-4.0,1.0,1.0
2016-03-28,Sierra Leone,Gabon,1.0,0.0,Friendly,Freetown,Sierra Leone,False,,H,0.0,0.2,996.0,1004.0,-8.0,1.0,1.0
2016-03-28,Ukraine,Wales,1.0,0.0,Friendly,Kyiv,Ukraine,False,,H,0.2,0.06666666666666667,1004.0,1000.0,4.0,1.0,1.0
2016-03-29,Afghanistan,Singapore,2.0,1.0,FIFA World Cup qualification,Tehran,Iran,True,,H,0.0,0.2,984.1841742594846,1004.0,-19.82,1.0,2.0
2016-03-29,Angola,DR Congo,0.0,2.0,African Cup of Nations qualification,Luanda,Angola,False,,A,0.0,0.2,991.9079006654217,1004.0920993345783,-12.18,-2.0,2.0
2016-03-29,Argentina,Bolivia,2.0,0.0,FIFA World Cup qualification,Córdoba,Argentina,False,,H,0.2,0.0,1008.0,992.0,16.0,2.0,2.0
2016-03-29,Australia,Jordan,5.0,1.0,FIFA World Cup qualification,Sydney,Australia,False,,H,0.2,0.4,1008.0,1011.9079006654401,-3.91,4.0,2.0
2016-03-29,Austria,Turkey,1.0,2.0,Friendly,Vienna,Austria,False,,A,0.2,0.2,1004.0,1004.0460496672891,-0.05,-1.0,1.0
2016-03-29,China PR,Qatar,2.0,0.0,FIFA World Cup qualification,Xi'an,China PR,False,,H,0.2,0.2,1007.9999879330123,1008.0,-0.0,2.0,2.0
2016-03-29,Colombia,Ecuador,3.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False,,H,0.2,0.06666666666666667,1008.0,1000.0,8.0,2.0,2.0
2016-03-29,Costa Rica,Jamaica,3.0,0.0,FIFA World Cup qualification,San José,Costa Rica,False,,H,0.06666666666666667,0.06666666666666667,1000.0,1000.0,0.0,3.0,2.0
2016-03-29,Dominica,Martinique,1.0,4.0,CFU Caribbean Cup qualification,Roseau,Dominica,False,,A,0.2,0.26666666666666666,1007.8158257405154,1008.0,-0.18,-3.0,2.0
2016-03-29,Dominican Republic,Barbados,2.0,0.0,CFU Caribbean Cup qualification,Santo Domingo,Dominican Republic,False,,H,0.0,0.2,991.8158257405154,1008.0,-16.18,2.0,2.0
2016-03-29,Egypt,Nigeria,1.0,0.0,African Cup of Nations qualification,Alexandria,Egypt,False,,H,0.4666666666666667,0.06666666666666667,1003.9523721815851,1000.0931473193199,3.86,1.0,2.0
2016-03-29,England,Netherlands,1.0,2.0,Friendly,London,England,False,,A,0.2,0.0,1004.0,996.0,8.0,-1.0,1.0
2016-03-29,Estonia,Serbia,0.0,1.0,Friendly,Tallinn,Estonia,False,,A,0.13333333333333333,0.0,1000.0,996.0,4.0,-1.0,1.0
2016-03-29,Ethiopia,Algeria,3.0,3.0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,,D,0.0,0.2,992.0,1008.0,-16.0,0.0,2.0
2016-03-29,France,Russia,4.0,2.0,Friendly,Saint-Denis,France,False,,H,0.2,0.2,1004.0,1003.9539503327109,0.05,2.0,1.0
2016-03-29,French Guiana,Cuba,3.0,0.0,CFU Caribbean Cup qualification,Cayenne,French Guiana,False,,H,0.0,0.2,987.8586709981062,1000.1841742594846,-12.33,3.0,2.0
2016-03-29,Gambia,Mauritania,0.0,0.0,African Cup of Nations qualification,Bakau,Gambia,False,,D,0.0,0.2,992.0,1008.0,-16.0,0.0,2.0
2016-03-29,Georgia,Kazakhstan,1.0,1.0,Friendly,Tbilisi,Georgia,False,,D,0.5,0.2,1000.0,1004.0,-4.0,0.0,1.0
2016-03-29,Germany,Italy,4.0,1.0,Friendly,Munich,Germany,False,,H,0.0,0.06666666666666667,996.0,1000.0,-4.0,3.0,1.0
2016-03-29,Gibraltar,Latvia,0.0,5.0,Friendly,Gibraltar,Gibraltar,False,,A,0.06666666666666667,0.06666666666666667,1000.0,1000.0,0.0,-5.0,1.0
2016-03-29,Greece,Iceland,2.0,3.0,Friendly,Piraeus,Greece,False,,A,0.2,0.2,1004.0,991.9565766106973,12.04,-1.0,1.0
2016-03-29,Honduras,El Salvador,2.0,0.0,FIFA World Cup qualification,San Pedro Sula,Honduras,False,,H,0.06666666666666667,0.06666666666666667,1000.0,1000.0,0.0,2.0,2.0
2016-03-29,India,Turkmenistan,1.0,2.0,FIFA World Cup qualification,Kochi,India,False,,A,0.2,0.5,999.8158257405154,1000.0,-0.18,-1.0,2.0
2016-03-29,Iran,Oman,2.0,0.0,FIFA World Cup qualification,Tehran,Iran,False,,H,0.2,0.2,1008.1841742594846,1008.0,0.18,2.0,2.0
2016-03-29,Iraq,Vietnam,1.0,0.0,FIFA World Cup qualification,Tehran,Iran,True,,H,0.06666666666666667,0.2,996.0920993345783,1008.0,-11.91,1.0,2.0
2016-03-29,Republic of Ireland,Slovakia,2.0,2.0,Friendly,Dublin,Republic of Ireland,False,,D,0.2,0.06666666666666667,1004.0,1000.0,4.0,0.0,1.0
